Gene,column,Pearson Correlation,p_value,n,min_score,max_score,minus_log10_p,selected_candidate
ANAPC2,ANAPC2 (29882),0.2634190719311792,0.21360904208810733,24,-2.398987184392229,-0.6605424053688479,0.6703803675336726,False
ANAPC4,ANAPC4 (29945),0.27996480691822284,0.1851696170366249,24,-1.8735843058586956,-0.7679066447741258,0.7324302716271984,False
ANAPC5,ANAPC5 (51433),-0.0830447637524878,0.6996568083132976,24,-1.9303272752306493,-0.5607788784435267,0.1551149354206807,False
ANKLE2,ANKLE2 (23141),-0.3032155842726445,0.14977867380567314,24,-3.0127251221718216,-1.1394542017325555,0.8245500191322647,False
ANKRD52,ANKRD52 (283373),0.14182460799618554,0.5085743006401338,24,-1.02945916644747,0.1030218748634259,0.29364558944574176,False
ANLN,ANLN (54443),-0.24845048271245818,0.24174115968684842,24,-1.1636628062261611,-0.1787954436476634,0.6166493988144311,False
ANXA8L1,ANXA8L1 (728113),0.21165307275382955,0.33230083034570607,23,-1.02858175104505,0.0857946183310283,0.4784685735148259,False
AP2M1,AP2M1 (1173),-0.33536912831443283,0.10914393528965503,24,-1.728291892241885,-0.1843645725307419,0.962000391364946,False
AP2S1,AP2S1 (1175),-0.39917733729939037,0.05331436381767777,24,-1.6142105553175203,0.0767817758856822,1.2731557687154338,False
APEX2,APEX2 (27301),0.1453966259729424,0.4978437212524026,24,-1.1807539323405207,0.0552954521383441,0.30290696577309545,False
AQR,AQR (9716),0.006242400135189466,0.9769052573672375,24,-2.112329416372652,-0.964627111470447,0.010147553167382821,False
ARCN1,ARCN1 (372),-0.2663324634999752,0.20840064498640298,24,-2.1195455486196,-0.9892615802119376,0.6811009412573392,False
ARF1,ARF1 (375),-0.31154335717336373,0.13835669491034497,24,-1.3014385912740731,-0.0376674376774307,0.8589998210385924,False
ARF4,ARF4 (378),0.14270839914470657,0.5059088814519297,24,-1.7053709757732336,-0.1023438212868137,0.29592769629471977,False
ARFRP1,ARFRP1 (10139),0.3000845164998494,0.15424126379650907,24,-1.1338925026010356,0.0913464593872248,0.811799424976504,False
ARGLU1,ARGLU1 (55082),0.12731579093548104,0.5532869380219381,24,-1.2030798024872336,-0.3092249067330621,0.2570495824732784,False
ARHGEF7,ARHGEF7 (8874),0.3469418147938552,0.09671745898069654,24,-1.1522803445845875,0.0816624247482342,1.0144951220434626,False
ARID1B,ARID1B (57492),0.12276728718777452,0.5676630348170468,24,-1.0009099753264834,0.202164250343529,0.24590938531953,False
ARIH1,ARIH1 (25820),-0.3843585572895291,0.0636801951982928,24,-2.7785489574714437,-0.9148982645275484,1.1959956140296288,False
ARL2,ARL2 (402),0.4520850343563951,0.026560621468754406,24,-1.953609559309846,-0.8951883172898407,1.575761767508346,True
ARMC5,ARMC5 (79798),0.171988221266055,0.42162677304094326,24,-1.0207326559083856,0.1153883811368879,0.3750718194872277,False
ARMC7,ARMC7 (79637),0.15605170330105214,0.4665144645727163,24,-2.205312214236731,-0.0903634938658011,0.3311348861367184,False
ARPC3,ARPC3 (10094),0.14036642855371062,0.5129869263496629,24,-1.0683200311639842,-0.3251931243675667,0.2898937028931538,False
ARPC4,ARPC4 (10093),0.30227263873723004,0.15111286455492867,24,-1.0763657229562158,-0.3057171022918564,0.8206985616874857,False
ASCL5,ASCL5 (647219),0.28363274285601026,0.17923623195438146,24,-1.23607202835594,0.1202975007690124,0.7465741947446051,False
ASNS,ASNS (440),-0.04252492608834818,0.8435957642529036,24,-1.29083540286468,0.7536217188501966,0.07386560954683401,False
ATF4,ATF4 (468),0.06406014898164329,0.7661753111504012,24,-1.0398392502856455,-0.2116308590402336,0.11567184661540175,False
ATIC,ATIC (471),0.028690583801775558,0.8941315144245533,24,-1.157862573577074,0.163255122916484,0.04859859777211279,False
ATL2,ATL2 (64225),0.1807884224333385,0.39788952705557507,24,-2.2659897176696564,-0.0631795452146458,0.4002374918710319,False
ATP1A1,ATP1A1 (476),0.33252579328198084,0.11236887979401783,24,-2.054087730110701,-0.5421244707553073,0.9493539485985901,False
